Bin ID,Genome Name,IMG Genome ID,Bin Quality,Bin Lineage,GTDB-Tk Taxonomy Lineage,Bin Methods,Created By,Date Added,Bin Completeness,Bin Contamination,Total Number of Bases,5s rRNA,16s rRNA,23s rRNA,tRNA Genes,Gene Count,Scaffold Count,GOLD Study ID
3300060644_15,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,56.18,5.83,3272984,0,1,0,20,3606,529,Gs0161344
3300060644_2,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidisoma; Acidisoma sp009765865,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,74.6,0.5,3609891,0,0,0,25,3729,401,Gs0161344
3300060644_25,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Pseudomonadota; Gammaproteobacteria,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,57.93,3.45,2233801,0,0,0,14,2167,219,Gs0161344
3300060644_26,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,88.06,2.26,5789977,1,0,0,42,6319,671,Gs0161344
3300060644_35,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,97.51,0.58,3366152,0,0,0,46,3443,121,Gs0161344
3300060644_42,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria,Bacteria; Eremiobacterota; Eremiobacteria; Baltobacterales; Baltobacteraceae; Tumulicola,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,91.48,1.39,2900940,1,1,0,40,3030,156,Gs0161344
3300060644_47,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria,Bacteria; Eremiobacterota; Eremiobacteria; Baltobacterales; Baltobacteraceae; Lustribacter,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,83.64,0.46,4737011,1,0,1,34,5119,458,Gs0161344
3300060644_5,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; unclassified; Acidobacteriaceae bacterium KBS 83,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; KBS-83,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,56.38,6.9,3141095,0,0,0,20,3089,368,Gs0161344
3300060644_52,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Pseudomonadota,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,58.62,5.17,4153034,0,0,0,23,4390,620,Gs0161344
3300060644_6,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,79.66,0.86,6374505,0,0,0,43,6260,340,Gs0161344
3300060644_7,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_009-O-20210707-comp-1",3300060644,MQ,Bacteria,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; JAFAMB01; JAFAMB01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,72.87,3.18,4371866,0,0,0,28,4408,377,Gs0161344
3300060645_18,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria,Bacteria; Proteobacteria; Alphaproteobacteria; BOG-932; BOG-932; BOG-932,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,96.94,4.37,6281685,0,1,1,56,6529,337,Gs0161344
3300060645_2,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae,Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Plantibacter,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,52.69,5.53,2146885,0,0,0,23,2318,422,Gs0161344
3300060645_23,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae,Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Leifsonia_B,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,99.49,1.52,4042696,3,1,0,49,3775,12,Gs0161344
3300060645_3,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidocella,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,51.72,0,1578636,0,0,0,28,1678,127,Gs0161344
3300060645_33,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Granulicella_D,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,83.28,0,3727439,0,1,0,30,3068,135,Gs0161344
3300060645_37,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Bacillota; Bacilli; Bacillales; Paenibacillaceae; Paenibacillus,Bacteria; Firmicutes; Bacilli; Paenibacillales; Paenibacillaceae; Paenibacillus,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,81.03,0,5286753,3,1,3,48,5026,97,Gs0161344
3300060645_38,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Palsa-343,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,94.02,0.91,4897047,0,0,0,37,4310,138,Gs0161344
3300060645_49,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,HQ,Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae,Bacteria; Actinobacteriota; Actinomycetia; Actinomycetales; Microbacteriaceae; Lacisediminihabitans,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,98.86,0.93,3650100,1,2,1,47,3528,8,Gs0161344
3300060645_53,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,90.07,3.12,6246763,1,1,0,39,6382,383,Gs0161344
3300060645_54,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,HQ,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,95.71,1.89,6028930,1,1,1,49,6100,214,Gs0161344
3300060645_57,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia; Paraburkholderia phenazinium,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Paraburkholderia; Paraburkholderia phenazinium_C,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,68.1,3.45,6451084,2,0,0,36,6482,546,Gs0161344
3300060645_58,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; LMUY01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,95.02,5.35,4964797,0,1,0,43,4813,215,Gs0161344
3300060645_61,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,HQ,Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium,Bacteria; Actinobacteriota; Actinomycetia; Mycobacteriales; Mycobacteriaceae; Mycobacterium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,97.12,1.87,6696428,1,1,1,55,7231,510,Gs0161344
3300060645_68,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia,Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Burkholderiaceae; Caballeronia,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,95.55,3.02,6346146,0,0,0,48,6004,74,Gs0161344
3300060645_73,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas; Stenotrophomonas rhizophila,Bacteria; Proteobacteria; Gammaproteobacteria; Xanthomonadales; Xanthomonadaceae; Stenotrophomonas,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,94.64,0.94,4223284,2,0,0,59,3882,85,Gs0161344
3300060645_78,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Terracidiphilus,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,89.2,1.72,8199183,1,1,1,74,7761,448,Gs0161344
3300060645_82,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae; Acidocella,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Acidocella,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,89.8,0,2487983,0,0,0,32,2476,54,Gs0161344
3300060645_83,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Nitrobacteraceae; Bradyrhizobium,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae; Bradyrhizobium,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,85.47,0.06,6100175,0,1,0,37,6517,377,Gs0161344
3300060645_84,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Rhodospirillales; Acetobacteraceae,Bacteria; Proteobacteria; Alphaproteobacteria; Acetobacterales; Acetobacteraceae; Rhodopila,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,94.28,0.5,6467384,1,0,0,51,6691,445,Gs0161344
3300060645_87,"Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_006-O-20210707-comp-1",3300060645,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae; Granulicella; Granulicella mallensis,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; UBA5172,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,73.38,1.72,2997742,0,0,0,37,2678,155,Gs0161344
3300060646_13,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Myxococcota,Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,82.87,9.73,7536959,1,1,1,55,7478,973,Gs0161344
3300060646_16,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Actinomycetota; Actinomycetes,Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; RAAP-2; Bog-756,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,83.9,1.63,2920636,1,0,1,35,3142,372,Gs0161344
3300060646_17,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Pseudomonadota,Bacteria; Proteobacteria; Gammaproteobacteria; Steroidobacterales; Steroidobacteraceae; Bog-1198,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,73.17,6.17,3408873,0,0,0,28,3608,501,Gs0161344
3300060646_19,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Verrucomicrobiota; Opitutae; Opitutales; Opitutaceae,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Opitutales; Opitutaceae; Palsa-1447,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,71.07,0.68,2294490,1,1,1,15,2262,381,Gs0161344
3300060646_26,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Acidobacteriota; Terriglobia,Bacteria; Acidobacteriota; Acidobacteriae; Acidoferrales; UBA7541; Acidoferrum,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,57.93,0.86,4410025,1,0,0,42,4438,636,Gs0161344
3300060646_29,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Acidobacteriota; Terriglobia; Terriglobales; Acidobacteriaceae,Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; SbA1; Sulfotelmatobacter,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,82.38,2.14,5116427,0,0,0,44,4811,288,Gs0161344
3300060646_3,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Actinomycetota; Actinomycetes,Bacteria; Actinobacteriota; Actinomycetia; Streptosporangiales; Streptosporangiaceae; Palsa-504,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,66.5,7.97,6063295,0,0,0,43,6643,979,Gs0161344
3300060646_6,"Terrestrial soil microbial communities from Healy, Denali National Park, Alaska, USA - HEAL_048-M-20210622-comp-1",3300060646,MQ,Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales,Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Xanthobacteraceae,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-06,85.2,9.23,6425597,1,1,1,38,7012,909,Gs0161344
3300060647_11,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_009-M-20210706-comp-1",3300060647,MQ,Bacteria; Actinomycetota,Bacteria; Actinobacteriota; Thermoleophilia; Gaiellales; Gaiellaceae,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,52.57,9.91,2451795,1,1,0,41,2954,537,Gs0161344
3300060647_13,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_009-M-20210706-comp-1",3300060647,MQ,Bacteria; Actinomycetota; Thermoleophilia; Solirubrobacterales,Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; VAYN01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,90.96,3.02,2696232,0,1,0,54,2791,94,Gs0161344
3300060647_18,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_009-M-20210706-comp-1",3300060647,HQ,,Bacteria; Verrucomicrobiota; Verrucomicrobiae; Chthoniobacterales; UBA10450; AV80,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,97.97,4.05,4392762,1,2,2,50,3871,32,Gs0161344
3300060647_24,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_009-M-20210706-comp-1",3300060647,MQ,Bacteria,Bacteria; Chloroflexota; Limnocylindria; Limnocylindrales; CSP1-4; UBA5189,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,51.42,0.93,1983536,0,1,0,18,2117,262,Gs0161344
3300060647_3,"Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_009-M-20210706-comp-1",3300060647,MQ,Bacteria,Bacteria; Acidobacteriota; Thermoanaerobaculia; Gp7-AA8; Gp7-AA8; QHVT01,"MetaBAT v2:2.15, CheckM v1.2.1, GTDB-tk v2.1.1, GTDB database release R207_v2",IMG_PIPELINE,2023-04-12,100,3.49,6308342,1,0,0,61,5724,57,Gs0161344
