taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID	GOLD Study ID	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Specific Ecosystem	Altitude In Meters	Chlorophyll Concentration	Depth In Meters	Elevation In Meters	Geographic Location	Habitat	Isolation	Isolation Country	Latitude	Longhurst Code	Longhurst Description	Longitude	Nitrate Concentration	Oxygen Concentration	pH	Pressure	Salinity	Salinity Concentration	Sample Collection Date	Sample Collection Temperature	Subsurface In Meters	Genome Size  * assembled	Gene Count  * assembled	Scaffold Count  * assembled	Genome MetaBAT Bin Count  * assembled	Genome EukCC Bin Count  * assembled	CRISPR Count  * assembled	GC Count  * assembled	GC  * assembled	Coding Base Count  * assembled	Coding Base Count %  * assembled	CDS Count  * assembled	CDS %  * assembled
3300060894	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Konza Prairie Bio Station, Kansas, USA - KONZ_043-M-20210721-comp-1	DOE Joint Genome Institute  (JGI)	3300060894	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	405.4	USA: Konza Prairie Bio Station, Kansas	Terrestrial soil	grassland topsoil	USA	39.102192			-96.56118							2021/7/21			2439531634	4236970	2305966	6	0	305	1563029897	64.07	2436725025	99.88	4213572	99.45
3300069295	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Lower Teakettle, Sierra National Forest, California, USA - TEAK_005-O-20210728-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069295	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	2727.2	USA: Lower Teakettle, California	Terrestrial soil	forest topsoil	USA	37.058229			-118.988578							2021/7/28			2738486753	6498655	4860292	0	0	1205	1680838417	61.38	2734938240	99.87	6473428	99.61
3300061626	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_048-M-20210707-comp-1	DOE Joint Genome Institute  (JGI)	3300061626	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2149	USA: Yellowstone NP, Wyoming	Terrestrial soil	forest topsoil	USA	44.951273			-110.536649							2021/7/7			747543128	1371663	824647	3	0	65	484945345	64.87	746516686	99.86	1364487	99.48
3300060670	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_041-O-20210803-comp-1	DOE Joint Genome Institute  (JGI)	3300060670	Gs0161344	Environmental	Terrestrial	Tundra	Soil	Unclassified			.02	827.4	USA: Toolik Field Station, Alaska	Terrestrial soil	tundra topsoil	USA	68.666666			-149.369752							2021/8/3			2206642902	3589799	1847211	16	0	393	1368128029	62	2204090238	99.88	3569891	99.45
3300060671	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_003-O-20210805-comp-1	DOE Joint Genome Institute  (JGI)	3300060671	Gs0161344	Environmental	Terrestrial	Tundra	Soil	Unclassified			.1	707.8	USA: Toolik Field Station, Alaska	Terrestrial soil	tundra topsoil	USA	68.640255			-149.642461							2021/8/5			918482234	1594003	900374	12	0	155	584770104	63.67	916855145	99.82	1582614	99.29
3300069235	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_004-O-20210707-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069235	Gs0161344	Environmental	Terrestrial	Boreal forest/Taiga	Soil	Unclassified			.1	668.9	USA: Caribou Creek, Alaska	Terrestrial soil	forest topsoil	USA	65.190675			-147.536694							2021/7/7			3076162113	6116998	4010682	0	0	871	1834073265	59.62	3072893403	99.89	6090885	99.57
3300069283	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_002-M-20210706-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069283	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2125.1	USA: Yellowstone NP, Wyoming	Terrestrial soil	forest topsoil	USA	44.932467			-110.634896							2021/7/6			1084617294	2762045	2118285	0	0	169	711809337	65.63	1082365468	99.79	2748660	99.52
3300060898	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Guanica State Forest and Biosphere Reserve, Puerto Rico - GUAN_048-M-20210920-comp-1	DOE Joint Genome Institute  (JGI)	3300060898	Gs0161344	Environmental	Terrestrial	Tropical forest	Soil	Unclassified			.1	130.1	Puerto Rico: Guanica	Terrestrial soil	forest topsoil	Puerto Rico	17.96911			-66.864276							2021/9/20			2373798091	4143520	2274170	6	0	337	1537015425	64.75	2370815245	99.87	4118593	99.4
3300069273	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_048-M-20210707-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069273	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2149	USA: Yellowstone NP, Wyoming	Terrestrial soil	forest topsoil	USA	44.951273			-110.536649							2021/7/7			1445675622	3657230	2839562	0	0	196	938419819	64.91	1443130172	99.82	3641532	99.57
3300069256	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_053-M-20210810-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069256	Gs0161344	Environmental	Terrestrial	Desert	Soil	Unclassified			.1	996.7	USA: Tucson, Arizona	Terrestrial soil	desert topsoil	USA	31.909824			-110.835912							2021/8/10			3970983079	9656943	7247374	0	0	747	2641606995	66.52	3964543757	99.84	9607565	99.49
3300069244	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Lower Teakettle, Sierra National Forest, California, USA - TEAK_003-M-20210726-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069244	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2201.1	USA: Lower Teakettle, California	Terrestrial soil	forest topsoil	USA	37.012962			-119.010619							2021/7/26			2436610014	6468537	5165810	0	0	410	1540933485	63.24	2432701313	99.84	6443643	99.62
3300069227	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_008-M-20210524-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069227	Gs0161344	Environmental	Terrestrial	Shrubland	Soil	Unclassified			.1	1795.9	USA: Onaqui, Utah	Terrestrial soil	topsoil from the sagebrush and western juniper dominating site	USA	40.15854			-112.521574							2021/5/24			1900961871	4951528	3903404	0	0	323	1227023928	64.55	1897128657	99.8	4927775	99.52
3300069204	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_002-M-20210524-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069204	Gs0161344	Environmental	Terrestrial	Shrubland	Soil	Unclassified			.1	1688	USA: Onaqui, Utah	Terrestrial soil	topsoil from the sagebrush and western juniper dominating site	USA	40.193323			-112.464547							2021/5/24			4296729022	10256351	7574087	0	0	889	2838308603	66.06	4289561076	99.83	10201091	99.46
3300069222	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_006-M-20210809-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069222	Gs0161344	Environmental	Terrestrial	Desert	Soil	Unclassified			.1	1048.6	USA: Tucson, Arizona	Terrestrial soil	desert topsoil	USA	31.795656			-110.910239							2021/8/9			2012792806	4783572	3519558	0	0	420	1345873657	66.87	2009290768	99.83	4757710	99.46
3300072276	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	WREF plot 3 samples	DOE Joint Genome Institute  (JGI)	3300072276	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	602.1	USA: Stabler, Washington	Terrestrial soil	forest topsoil	USA	n/a			n/a							2021/6/22			5028073026	8117656	4158234	0	0	859	3098252648	61.62	5023277674	99.9	8075884	99.49
3300060889	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_004-O-20210622-comp-1	DOE Joint Genome Institute  (JGI)	3300060889	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	567.8	USA: Stabler, Washington	Terrestrial soil	forest topsoil	USA	45.822941			-121.998707							2021/6/22			917531332	1560190	846699	8	0	168	569068115	62.02	916298507	99.87	1551713	99.46
3300061177	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_043-M-20210809-comp-1	DOE Joint Genome Institute  (JGI)	3300061177	Gs0161344	Environmental	Terrestrial	Desert	Soil	Unclassified			.1	993.4	USA: Tucson, Arizona	Terrestrial soil	desert topsoil	USA	31.910099			-110.837175							2021/8/9			1699073393	3015886	1685634	8	0	238	1120545360	65.95	1696360218	99.84	2996203	99.35
3300060709	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_006-M-20210809-comp-1	DOE Joint Genome Institute  (JGI)	3300060709	Gs0161344	Environmental	Terrestrial	Desert	Soil	Unclassified			.1	1048.6	USA: Tucson, Arizona	Terrestrial soil	desert topsoil	USA	31.795656			-110.910239							2021/8/9			1197382962	2123081	1173530	3	0	177	799115653	66.74	1195360933	99.83	2107935	99.29
3300060653	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_004-M-20210726-comp-1	DOE Joint Genome Institute  (JGI)	3300060653	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	3312.5	USA: Niwot Ridge, Colorado	Terrestrial soil	forest topsoil	USA	40.043059			-105.581501							2021/7/26			2543810068	4250979	2242895	10	0	388	1548453706	60.87	2540890838	99.89	4227944	99.46
3300069248	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Konza Prairie Bio Station, Kansas, USA - KONZ_046-M-20210720-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069248	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	405.7	USA: Konza Prairie Bio Station, Kansas	Terrestrial soil	grassland topsoil	USA	39.103068			-96.563925							2021/7/20			2555158047	5757288	4084543	0	0	351	1621057118	63.44	2551953378	99.87	5732916	99.58
3300069250	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_005-M-20210527-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069250	Gs0161344	Environmental	Terrestrial	Shrubland	Soil	Unclassified			.1	1614.4	USA: Onaqui, Utah	Terrestrial soil	topsoil from the sagebrush and western juniper dominating site	USA	40.180775			-112.431854							2021/5/27			1325614622	3319821	2546842	0	0	180	898223634	67.76	1322947339	99.8	3302420	99.48
3300069208	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Chase Lake Wetlands, North Dakota, USA - WOOD_043-M-20210712-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069208	Gs0161344	Environmental	Terrestrial	Wetlands	Soil	Unclassified			.1	580.2	USA: Goldwin, North Dakota	Terrestrial soil	wetland topsoil	USA	47.131002			-99.242763							2021/7/12			2802353118	6391054	4528609	0	0	321	1834338118	65.46	2797974968	99.84	6356668	99.46
3300060917	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Lower Teakettle, Sierra National Forest, California, USA - TEAK_004-M-20210726-comp-1	DOE Joint Genome Institute  (JGI)	3300060917	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2190.5	USA: Lower Teakettle, California	Terrestrial soil	forest topsoil	USA	37.001687			-119.036304							2021/7/26			1378022830	2437299	1411253	8	0	176	870666435	63.18	1376105284	99.86	2424987	99.49
3300069212	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Lower Teakettle, Sierra National Forest, California, USA - TEAK_004-O-20210726-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069212	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	2190.5	USA: Lower Teakettle, California	Terrestrial soil	forest topsoil	USA	37.001687			-119.036304							2021/7/26			3202425631	7051568	5029123	0	0	729	1984129614	61.96	3198699402	99.88	7024401	99.61
3300069265	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Chase Lake Wetlands, North Dakota, USA - WOOD_024-O-20210714-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069265	Gs0161344	Environmental	Terrestrial	Wetlands	Soil	Unclassified			.02	586.6	USA: Goldwin, North Dakota	Terrestrial soil	wetland topsoil	USA	47.151171			-99.262648							2021/7/14			4031167003	8439083	5846064	0	0	674	2521439855	62.55	4025271116	99.85	8397540	99.51
3300069239	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_004-M-20210525-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069239	Gs0161344	Environmental	Terrestrial	Shrubland	Soil	Unclassified			.1	1713.7	USA: Onaqui, Utah	Terrestrial soil	topsoil from the sagebrush and western juniper dominating site	USA	40.185938			-112.47248							2021/5/25			1824368543	3917662	2647517	0	0	504	1196902002	65.61	1820858855	99.81	3892264	99.35
3300069300	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_004-M-20210726-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069300	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	3312.5	USA: Niwot Ridge, Colorado	Terrestrial soil	forest topsoil	USA	40.043059			-105.581501							2021/7/26			3907499497	8702104	6153648	0	0	921	2386420697	61.07	3902963892	99.88	8666117	99.59
3300069301	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Caribou Creek Watershed, Alaska, USA - BONA_001-O-20210708-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069301	Gs0161344	Environmental	Terrestrial	Boreal forest/Taiga	Soil	Unclassified			.1	374.1	USA: Caribou Creek, Alaska	Terrestrial soil	forest topsoil	USA	65.174447			-147.478155							2021/7/8			3440548901	7717678	5571850	0	0	1014	2086081001	60.63	3436539179	99.88	7687438	99.61
3300060654	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Niwot Ridge, Colorado, USA - NIWO_002-M-20210728-comp-1	DOE Joint Genome Institute  (JGI)	3300060654	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	3059.6	USA: Niwot Ridge, Colorado	Terrestrial soil	forest topsoil	USA	40.041058			-105.547043							2021/7/28			2385927688	3841105	1948058	14	0	270	1440448291	60.37	2383568995	99.9	3821396	99.49
3300061205	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_040-M-20210503-comp-1	DOE Joint Genome Institute  (JGI)	3300061205	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	330.4	USA: Alvord, Texas	Terrestrial soil	grassland topsoil	USA	33.37882			-97.64669							2021/5/3			1372843960	2336682	1255510	17	0	209	870110389	63.38	1371060076	99.87	2323143	99.42
3300061211	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Great Basin, Onaqui, Utah, USA - ONAQ_004-M-20210525-comp-1	DOE Joint Genome Institute  (JGI)	3300061211	Gs0161344	Environmental	Terrestrial	Shrubland	Soil	Unclassified			.1	1713.7	USA: Onaqui, Utah	Terrestrial soil	topsoil from the sagebrush and western juniper dominating site	USA	40.185938			-112.47248							2021/5/25			1245617870	2024451	978255	30	0	284	814998930	65.43	1243239445	99.81	2007337	99.15
3300069217	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Guanica State Forest and Biosphere Reserve, Puerto Rico - GUAN_043-M-20210921-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069217	Gs0161344	Environmental	Terrestrial	Tropical forest	Soil	Unclassified			.1	113.5	Puerto Rico: Guanica	Terrestrial soil	forest topsoil	Puerto Rico	17.968869			-66.867682							2021/9/21			2315546677	4963010	3396924	0	0	497	1503262031	64.92	2312525284	99.87	4938536	99.51
3300060658	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Santa Rita Experimental Range, Tucson, Arizona, USA - SRER_004-M-20210809-comp-1	DOE Joint Genome Institute  (JGI)	3300060658	Gs0161344	Environmental	Terrestrial	Desert	Soil	Unclassified			.1	1044.5	USA: Tucson, Arizona	Terrestrial soil	desert topsoil	USA	31.906778			-110.815262							2021/8/9			507633143	896281	498828	2	0	73	332555503	65.51	506466783	99.77	889118	99.2
3300069299	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Toolik Field Station, Alaska, USA - TOOL_003-O-20210805-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069299	Gs0161344	Environmental	Terrestrial	Tundra	Soil	Unclassified			.1	707.8	USA: Toolik Field Station, Alaska	Terrestrial soil	tundra topsoil	USA	68.640255			-149.642461							2021/8/5			1673591034	4090741	3108671	0	0	492	1055109689	63.04	1670737912	99.83	4069650	99.48
3300060667	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_073-M-20210623-comp-1	DOE Joint Genome Institute  (JGI)	3300060667	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	371.8	USA: Stabler, Washington	Terrestrial soil	forest topsoil	USA	45.825842			-121.960125							2021/6/23			1515078457	2718795	1598526	3	0	151	930307365	61.4	1513250371	99.88	2706650	99.55
3300060662	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Yellowstone NP, Wyoming, USA - YELL_005-M-20210708-comp-1	DOE Joint Genome Institute  (JGI)	3300060662	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.1	2112	USA: Yellowstone NP, Wyoming	Terrestrial soil	forest topsoil	USA	44.948383			-110.631377							2021/7/8			773391452	1440274	851876	1	0	98	496743752	64.23	771870816	99.8	1431012	99.36
3300069243	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from National Grasslands LBJ, Texas, USA - CLBJ_040-M-20210503-comp-1 re-annotation	DOE Joint Genome Institute  (JGI)	3300069243	Gs0161344	Environmental	Terrestrial	Grasslands	Soil	Unclassified			.1	330.4	USA: Alvord, Texas	Terrestrial soil	grassland topsoil	USA	33.37882			-97.64669							2021/5/3			2183496814	4978898	3578130	0	0	465	1385158799	63.44	2180529354	99.86	4956747	99.56
3300061179	*Microbiome	Permanent Draft	Terrestrial soil microbial communities from various NEON sites located in USA and Puerto Rico	Terrestrial soil microbial communities from Wind River Experimental Forest, Washington, USA - WREF_001-O-20210621-comp-1	DOE Joint Genome Institute  (JGI)	3300061179	Gs0161344	Environmental	Terrestrial	Temperate forest	Soil	Unclassified			.02	666.4	USA: Stabler, Washington	Terrestrial soil	forest topsoil	USA	45.844033			-121.999068							2021/6/21			3068129637	4918035	2500903	33	0	495	1887306032	61.51	3064681872	99.89	4890905	99.45
